P0	P10	P20	P30	P40	P60	P90	P120	fit.cluster
YCR009C	0	0	0	0	0	0	0	0	5
YCR010C	0	0	0	0	0	0	0	0	5
YCR013C	0	0	0	0	0	0	0	0	5
YCR014C	0	0	0	0	0	0	0	0	5
YCR015C	0	0	0	0	0	0	0	0	5
YCR016W	0	0	0	0	0	0	0	0	5
YCR017C	0	0	0	0	0	0	0	0	5
YCR018C	0	0	0	0	0	0	0	0	5
YCR019W	0	0	0	0	0	0	0	0	5
YCR020C	0	0	0	0	0	0	0	0	5
YCR020C-A	0	0	0	0	0	0	0	0	5
YCR021C	0	0	0	0	0	0	0	0	5
YCR022C	0	0	0	0	0	0	0	0	5
YCR023C	0	0	0	0	0	0	0	0	5
YCR024C	0	0	0	0	0	0	0	0	5
YCR024C-A	0	0	0	0	0	0	0	0	5
YCR025C	0	0	0	0	0	0	0	0	5
YCR026C	0	0	0	0	0	0	21	0	5
YCR027C	0	0	0	0	0	0	0	0	5
YCR028C	0	0	0	0	0	0	0	0	5
YCR028C-A	0	0	637	0	0	443	406	468	5
YCR030C	0	0	0	0	0	0	0	0	5
YCR032W	0	8	0	0	0	0	0	0	5
YCR034W	0	0	0	0	0	0	0	0	5
YCR035C	0	0	0	0	0	0	0	0	5
YCR036W	0	0	0	0	0	0	0	0	5
YCR037C	0	0	0	0	0	0	0	0	5
YCR038C	0	0	0	0	0	85	0	0	5
YCR039C	0	0	0	0	0	0	0	0	5
YCR040W	0	0	0	0	0	0	0	0	5
YCR041W	0	0	0	0	0	0	0	0	5
YCR042C	0	0	0	0	0	0	0	14	5
YCR043C	0	0	0	0	0	0	0	0	5
YCR044C	0	0	0	0	0	0	0	0	5
YCR045C	0	0	0	0	0	0	0	0	5
YCR046C	0	0	0	0	0	0	0	0	5
YCR047C	0	0	0	0	0	0	0	0	5
YCR048W	0	0	0	0	0	0	0	0	5
YCR049C	0	0	0	0	0	0	0	0	5
YCR050C	0	0	0	0	0	0	0	0	5
YCR052W	0	0	0	0	0	0	0	0	5
YCR054C	0	0	0	0	0	0	0	0	5
YCR059C	0	0	0	0	0	0	0	0	5
YCR061W	0	0	0	0	0	0	0	0	5
YCR062W	0	0	0	0	0	0	0	0	5
YCR063W	0	0	0	0	0	0	0	0	5
YCR064C	0	0	0	0	0	0	0	0	5
YCR065W	0	0	0	0	0	0	0	0	5
YCR066W	0	0	0	0	0	0	0	0	5
YCR067C	0	0	0	0	0	0	0	0	5
YCR068W	0	0	0	0	0	0	0	0	5
YCR069W	0	0	0	0	0	0	0	0	5
YCR071C	0	0	0	0	0	0	0	0	5
YCR072C	0	0	0	0	0	0	0	0	5
YCR075C	0	0	0	0	0	0	0	0	5
YCR076C	0	0	0	0	0	0	0	0	5
YCR077C	0	0	0	0	39	0	0	0	5
YCR079W	0	0	0	0	0	0	0	0	5
YCR081W	0	0	0	0	0	0	0	0	5
YCR082W	0	0	0	0	0	0	0	0	5
YCR083W	0	0	0	0	0	0	0	0	5
YCR085W	0	0	0	0	0	0	0	0	5
YCR086W	0	0	0	0	0	0	0	0	5
YCR087W	0	0	0	0	0	0	0	0	5
YCR089W	0	0	0	0	0	0	0	0	5
YCR090C	0	0	0	0	0	0	0	0	5
YCR091W	0	0	0	0	0	0	0	0	5
YCR092C	0	22	0	0	0	0	0	0	5
YCR094W	0	0	0	0	0	0	0	0	5
YCR095C	0	0	0	0	0	0	0	0	5
YCR096C	0	0	0	0	0	0	0	0	5
YCR098C	0	0	0	0	0	0	0	0	5
YCR099C	0	0	0	0	0	0	0	0	5
YCR100C	0	0	0	0	0	0	0	0	5
YCR101C	0	0	0	0	0	0	0	0	5
YCR102C	0	0	0	0	0	0	0	0	5
YCR103C	0	0	0	0	0	0	0	0	5
YCR104W	0	0	0	0	0	0	0	0	5
YCR105W	0	83	0	0	0	0	0	0	5
YCR106W	0	0	0	0	0	0	0	0	5
YCR107W	0	0	0	0	0	0	0	0	5
YDL001W	0	0	0	0	0	0	0	0	5
YDL002C	0	0	0	0	0	0	0	0	5
YDL003W	0	0	0	0	0	0	0	0	5
YDL005C	0	0	0	0	0	0	0	0	5
YDL006W	0	0	0	0	0	0	0	0	5
YDL007W	0	0	0	0	0	0	0	0	5
YDL008W	0	0	0	0	0	0	0	0	5
YDL009C	0	0	0	0	0	0	0	0	5
YDL010W	0	0	0	0	0	0	0	0	5
YDL011C	0	0	0	0	0	0	0	0	5
YDL012C	0	0	0	0	0	0	0	0	5
YDL013W	0	0	0	0	0	0	0	0	5
YDL014W	0	0	145	0	0	0	0	0	5
YDL015C	0	0	0	0	0	0	0	0	5
YDL016C	0	0	0	0	0	0	0	0	5
YDL017W	0	0	0	0	0	0	0	0	5
YDL018C	0	0	0	0	0	0	0	0	5
YDL019C	0	0	0	0	0	0	0	0	5
YDL020C	0	0	0	0	0	0	0	0	5
YDL021W	0	0	0	0	0	0	0	0	5
YDL022W	0	0	0	0	0	0	0	194	5
YDL023C	0	0	0	0	0	0	0	0	5
YDL024C	0	0	0	0	0	0	0	0	5
YDL025C	0	0	0	0	0	0	0	0	5
YDL026W	0	0	0	0	0	0	0	0	5
YDL027C	0	0	0	0	0	0	0	0	5
YDL028C	0	0	0	0	0	0	0	0	5
YDL030W	0	0	0	0	0	0	0	0	5
YDL031W	0	0	7	0	0	0	0	0	5
YDL032W	0	0	0	0	0	0	0	0	5
YDL034W	0	0	0	0	0	0	0	0	5
YDL036C	0	0	0	0	0	0	0	0	5
YDL037C	0	0	0	0	0	0	0	0	5
YDL038C	0	0	0	0	0	0	0	0	5
YDL039C	0	0	0	0	0	0	0	0	5
YDL041W	0	0	0	0	0	0	0	0	5
YDL043C	0	127	0	0	0	0	0	0	5
YDL044C	0	0	0	0	0	0	0	0	5
YDL045C	0	0	0	0	0	0	0	0	5
YDL045W-A	0	0	0	0	0	0	0	0	5
YDL047W	0	0	0	0	0	0	0	0	5
YDL048C	0	0	0	0	0	0	0	17	5
YDL049C	0	0	0	0	0	0	0	0	5
YDL050C	0	0	0	0	0	0	0	0	5
YDL052C	0	0	0	0	0	0	0	0	5
YDL053C	0	0	0	0	0	0	0	0	5
YDL054C	0	0	0	0	0	0	0	0	5
YDL056W	0	21	0	0	0	0	0	0	5
YDL057W	0	0	0	0	0	0	0	0	5
YDL059C	0	0	0	0	0	0	0	0	5
YDL061C	0	0	0	0	0	0	0	0	5
YDL062W	0	0	0	0	0	0	0	0	5
YDL063C	0	0	0	0	0	0	0	0	5
YDL064W	0	0	0	0	0	0	0	0	5
YDL067C	0	0	0	0	0	0	0	0	5
YDL068W	0	0	0	0	0	0	0	0	5
YDL069C	0	0	0	0	0	0	0	0	5
YDL070W	0	0	0	0	0	0	0	0	5
YDL071C	0	0	0	0	0	0	0	0	5
YDL072C	0	0	0	0	0	0	0	0	5
YDL074C	0	0	0	0	0	0	0	0	5
YDL076C	0	0	0	0	0	0	0	0	5
YDL079C	0	0	0	0	0	0	0	0	5
YDL080C	0	0	0	0	0	0	0	0	5
YDL084W	0	0	0	0	0	0	0	0	5
YDL085W	0	562	0	0	0	0	539	0	5
YDL087C	0	0	0	0	0	0	0	0	5
YDL088C	0	0	0	0	0	0	0	0	5
YDL089W	0	0	0	0	65	0	0	0	5
YDL090C	0	0	0	0	0	0	0	0	5
YDL091C	0	0	0	0	0	0	0	0	5
YDL092W	0	0	0	0	0	0	0	0	5
YDL093W	0	0	0	0	0	0	0	0	5
YDL094C	0	0	0	0	0	0	0	0	5
YDL095W	0	0	0	0	0	0	0	0	5
YDL096C	0	0	0	0	0	0	0	0	5
YDL097C	0	0	0	0	0	0	0	0	5
YDL098C	0	0	0	0	0	0	0	0	5
YDL099W	0	0	0	0	0	0	0	0	5
YDL100C	0	0	0	0	0	0	0	0	5
YDL101C	0	0	0	0	0	0	0	30	5
YDL104C	0	0	0	0	0	0	0	0	5
YDL105W	0	0	0	0	0	0	0	0	5
YDL106C	0	0	0	0	0	0	0	0	5
YDL107W	0	0	0	0	0	0	0	0	5
YDL108W	0	0	0	0	0	0	0	0	5
YDL111C	0	0	0	0	0	0	0	0	5
YDL113C	0	0	0	0	0	0	0	0	5
YDL114W	0	0	0	0	0	0	0	0	5
YDL115C	0	0	0	0	0	0	0	0	5
YDL116W	0	0	0	0	0	0	0	0	5
YDL117W	45	0	0	0	0	0	0	84	5
YDL118W	0	0	0	0	0	0	0	0	5
YDL119C	0	0	0	0	0	0	0	0	5
YDL120W	0	0	0	0	0	0	0	91	5
YDL122W	0	0	0	0	0	28	0	0	5
YDL123W	0	0	0	0	0	0	0	0	5
YDL127W	0	0	0	0	0	0	0	0	5
YDL128W	0	0	0	0	0	0	0	0	5
YDL129W	0	0	0	0	0	0	0	0	5
YDL130W	40747	48726	32098	31356	60079	62768	46411	41056	4
YDL131W	0	0	0	0	0	0	0	0	5
YDL133W	0	0	0	0	0	0	0	0	5
YDL134C	0	0	253	0	0	0	0	0	5
YDL135C	0	0	0	0	0	0	0	0	5
YDL137W	0	0	0	0	0	0	0	0	5
YDL138W	0	16	0	0	0	0	0	0	5
YDL139C	0	0	0	0	0	0	0	0	5
YDL141W	0	0	0	0	0	0	0	0	5
YDL142C	0	0	0	0	0	0	0	0	5
YDL144C	0	0	0	0	0	0	0	0	5
YDL146W	0	0	0	0	0	0	0	0	5
YDL147W	0	0	0	0	0	0	0	0	5
YDL148C	0	0	0	0	0	0	0	0	5
YDL149W	0	0	0	0	0	0	0	0	5
YDL150W	0	0	0	0	0	0	0	0	5
YDL151C	0	0	0	0	0	0	0	0	5
YDL152W	0	0	0	0	0	0	0	0	5
YDL154W	0	0	0	0	0	0	0	0	5
YDL155W	0	0	0	0	0	0	0	0	5
YDL156W	0	0	0	0	0	0	0	0	5
YDL157C	0	0	0	0	0	0	0	0	5
YDL158C	0	0	0	0	0	0	0	0	5
YDL159W	0	0	0	0	0	0	0	0	5
YDL161W	0	0	0	0	9	0	0	0	5
YDL162C	0	0	0	0	0	0	0	0	5
YDL163W	0	0	0	0	0	0	0	0	5
YDL164C	0	0	0	0	0	0	0	0	5
YDL165W	0	0	0	0	0	0	0	0	5
YDL166C	0	0	0	0	0	0	0	0	5
YDL169C	0	0	0	0	0	0	0	0	5
YDL170W	0	0	0	0	0	0	0	0	5
YDL172C	0	0	0	0	0	0	0	0	5
YDL173W	0	0	0	0	0	0	0	0	5
YDL174C	0	0	0	0	0	0	0	0	5
YDL175C	0	0	0	0	0	0	0	0	5
YDL176W	0	0	0	0	0	0	0	0	5
YDL177C	0	0	0	0	0	0	0	0	5
YDL178W	144	0	0	0	0	0	0	0	5
YDL179W	0	0	0	0	0	0	0	0	5
YDL180W	0	0	0	0	0	0	0	0	5
YDL181W	0	0	0	0	0	0	0	0	5
YDL182W	0	0	0	0	0	0	0	0	5
YDL183C	0	0	0	0	0	0	0	0	5
YDL184C	0	0	0	0	0	0	0	0	5
YDL186W	0	0	0	0	0	0	0	0	5
YDL187C	0	0	0	0	0	0	0	0	5
YDL189W	0	0	0	0	0	0	0	0	5
YDL190C	0	0	0	0	0	0	0	0	5
YDL191W	0	0	0	0	0	0	0	0	5
YDL192W	0	0	0	0	0	0	0	0	5
YDL193W	0	0	0	0	0	0	0	0	5
YDL194W	0	0	0	0	0	41	9	0	5
YDL196W	0	0	0	0	0	0	0	0	5
YDL197C	0	0	0	0	0	0	0	0	5
YDL198C	0	0	0	0	0	0	0	0	5
YDL199C	0	0	76	0	0	0	78	0	5
YDL200C	0	0	0	0	0	0	0	0	5
YDL202W	0	0	0	0	0	0	0	0	5
YDL203C	0	0	0	0	0	0	0	0	5
YDL204W	0	0	0	0	0	0	0	0	5
YDL205C	0	0	0	0	0	0	0	0	5
YDL206W	0	0	0	0	0	0	0	0	5
YDL207W	0	0	0	0	0	0	0	0	5
YDL208W	0	0	0	1070	0	0	0	0	5
YDL209C	0	0	0	0	0	0	0	0	5
YDL210W	0	0	0	0	0	0	0	0	5
YDL211C	0	0	0	0	0	0	0	0	5
YDL212W	0	0	0	0	0	0	0	0	5
YDL213C	0	0	0	0	0	0	0	205	5
YDL214C	0	0	0	0	0	0	0	152	5
YDL215C	0	0	0	0	0	0	0	0	5
YDL216C	0	0	0	0	0	0	0	0	5
YDL217C	0	0	0	0	0	0	0	0	5
YDL218W	0	0	0	0	0	0	0	0	5
YDL219W	0	0	0	0	0	0	0	0	5
YDL220C	0	0	0	0	0	0	0	0	5
YDL221W	0	0	0	0	0	0	0	0	5
YDL222C	0	0	0	0	0	31	0	0	5
YDL224C	0	0	0	0	0	0	79	0	5
YDL225W	0	0	0	0	0	0	0	0	5
YDL227C	0	0	0	0	0	0	0	0	5
YDL228C	0	0	0	0	0	0	0	0	5
YDL230W	0	0	0	0	0	0	0	0	5
YDL231C	0	0	0	0	0	0	0	0	5
YDL232W	0	0	0	0	0	0	0	0	5
YDL233W	0	0	0	0	0	0	0	0	5
YDL234C	0	0	0	0	0	0	0	0	5
YDL235C	0	0	0	0	0	0	0	0	5
YDL237W	0	73	0	0	0	0	0	0	5
YDL238C	0	0	0	0	0	7	0	0	5
YDL239C	0	0	0	0	0	7	0	0	5
YDL241W	0	0	0	0	0	0	0	0	5
YDL242W	0	0	0	0	0	0	0	0	5
YDL243C	0	0	0	0	0	0	0	0	5
YDL244W	0	0	0	0	0	0	0	0	5
YDL245C	0	0	0	0	91	0	0	0	5
YDL246C	0	0	0	0	0	0	0	0	5
YDL247W	0	0	0	0	0	0	0	0	5
YDL248W	0	0	0	0	0	0	0	0	5
YDR003W	0	0	0	0	0	0	0	0	5
YDR004W	0	0	0	0	0	0	57	0	5
YDR005C	0	0	0	0	0	0	0	0	5
YDR006C	0	0	0	0	0	0	0	0	5
YDR007W	0	0	0	0	0	0	0	0	5
YDR008C	0	0	0	0	0	0	0	0	5
YDR009W	0	0	0	0	0	0	0	0	5
YDR010C	0	0	0	0	0	0	0	0	5
YDR013W	0	0	0	0	0	0	0	0	5
YDR014W	0	0	0	0	0	0	0	0	5
YDR014W-A	0	0	0	0	16	0	0	0	5
YDR015C	0	0	0	0	0	0	0	0	5
YDR016C	0	0	0	0	0	0	0	0	5
YDR018C	8	0	105	0	0	0	0	0	5
YDR020C	0	0	0	0	0	0	0	0	5
YDR021W	0	0	0	0	0	0	0	0	5
YDR024W	0	0	0	0	0	0	0	0	5
YDR025W	0	0	0	0	0	0	0	0	5
YDR026C	0	0	0	0	0	0	0	0	5
YDR029W	0	0	0	0	0	0	0	0	5
YDR030C	0	0	0	0	0	0	0	0	5
YDR031W	0	0	0	0	0	0	0	0	5
YDR033W	0	0	0	0	0	0	0	0	5
YDR034C	0	0	0	0	0	0	0	0	5
YDR036C	0	0	0	0	0	0	0	0	5
YDR039C	0	0	0	0	0	0	0	0	5
YDR040C	0	0	0	0	0	0	0	0	5
YDR041W	0	0	0	0	0	0	0	0	5
YDR042C	0	0	0	0	0	0	0	0	5
YDR043C	0	0	0	0	0	0	0	0	5
YDR046C	0	0	0	0	0	0	0	0	5
YDR047W	0	0	0	0	0	0	0	0	5
YDR048C	0	0	0	0	0	0	0	0	5
YDR049W	0	0	0	0	0	0	0	0	5
YDR051C	0	0	0	0	0	0	0	56	5
YDR052C	0	0	30	0	0	0	0	0	5
YDR053W	0	0	0	0	0	0	0	0	5
YDR054C	0	0	0	0	0	0	0	0	5
YDR055W	0	0	0	0	0	0	0	0	5
YDR056C	0	0	0	0	0	0	0	0	5
YDR057W	0	0	0	0	0	0	16	0	5
YDR058C	0	0	0	0	0	0	0	0	5
YDR059C	0	0	0	0	0	0	0	0	5
YDR060W	0	0	0	0	8	0	0	0	5
YDR061W	0	0	0	0	0	0	0	0	5
YDR063W	0	0	0	0	0	0	0	0	5
YDR065W	0	0	0	0	0	0	0	0	5
YDR066C	0	0	0	0	0	0	0	0	5
YDR067C	0	0	0	0	0	0	0	0	5
YDR070C	0	0	0	0	0	0	0	0	5
YDR072C	0	0	0	0	0	0	0	0	5
YDR073W	0	0	0	0	0	0	0	0	5
YDR075W	0	0	0	0	0	0	0	0	5
YDR076W	0	0	0	0	0	0	0	0	5
YDR077W	0	0	0	0	0	0	0	0	5
YDR078C	0	0	0	0	0	0	0	0	5
YDR079W	0	0	0	0	0	0	0	0	5
YDR080W	0	0	0	0	0	28	0	0	5
YDR081C	0	0	0	0	0	24	0	0	5
YDR082W	0	0	0	0	0	0	0	0	5
YDR083W	0	0	0	0	0	0	0	0	5
YDR084C	0	0	0	0	0	0	0	0	5
YDR086C	0	0	0	0	0	0	0	0	5
YDR087C	0	0	0	0	0	0	0	0	5
YDR088C	0	0	0	0	0	0	0	0	5
YDR089W	0	0	0	0	0	0	0	0	5
YDR090C	0	0	0	0	0	0	0	0	5
YDR092W	0	0	0	0	0	0	0	0	5
YDR094W	0	0	0	0	0	0	0	0	5
YDR095C	0	0	0	0	0	0	0	0	5
YDR096W	0	0	0	0	0	0	0	0	5
YDR100W	0	0	0	0	0	0	0	0	5
YDR102C	0	0	0	0	0	0	0	0	5
YDR103W	0	0	0	0	0	0	0	58	5
YDR104C	0	16	0	0	36	0	13	39	5
YDR105C	0	0	0	0	0	0	0	0	5
YDR106W	0	0	0	0	0	0	0	0	5
YDR108W	0	0	0	0	0	0	0	0	5
YDR109C	0	0	0	0	0	0	9	0	5
YDR110W	0	0	0	0	0	0	0	0	5
YDR112W	118	0	0	176	0	0	0	0	5
YDR114C	0	0	0	0	0	0	0	0	5
YDR115W	0	0	0	0	0	0	0	0	5
YDR116C	0	0	0	0	0	0	0	0	5
YDR117C	0	0	0	0	0	0	0	0	5
YDR118W	0	0	0	0	0	0	0	0	5
YDR119W	0	0	0	0	0	0	0	0	5
YDR121W	0	0	0	0	0	0	0	0	5
YDR122W	0	0	0	0	0	0	0	0	5
YDR123C	0	0	0	0	0	0	0	0	5
YDR124W	0	0	0	0	0	0	0	0	5
YDR125C	0	0	0	0	0	0	0	0	5
YDR126W	0	0	0	0	0	0	0	61	5
YDR130C	0	0	0	0	0	0	0	0	5
YDR131C	0	0	0	0	0	0	0	0	5
YDR132C	0	0	0	0	0	0	0	0	5
YDR133C	0	0	0	0	0	0	0	0	5
YDR134C	31200	51929	59254	63981	0	125108	101653	0	4
YDR135C	0	0	0	0	0	0	7	0	5
YDR136C	0	0	0	0	0	0	0	0	5
YDR137W	0	0	0	0	0	0	0	0	5
YDR138W	0	0	0	0	0	0	0	0	5
YDR139C	0	0	0	0	0	0	0	0	5
YDR140W	0	0	0	0	0	0	0	0	5
YDR142C	0	0	0	0	0	0	0	0	5
YDR143C	0	0	0	0	0	0	0	0	5
YDR144C	0	0	0	0	0	0	0	0	5
YDR145W	0	0	0	0	0	0	0	0	5
YDR146C	0	0	0	0	0	0	0	0	5
YDR147W	0	0	0	0	0	0	0	0	5
YDR149C	0	0	0	0	0	0	0	0	5
YDR151C	0	0	0	0	0	0	0	0	5
YDR152W	0	0	0	0	0	0	0	0	5
YDR153C	0	0	0	0	0	0	0	0	5
YDR154C	0	0	0	0	0	0	0	0	5
YDR155C	49693	39832	73366	58634	62202	57076	86297	85932	4
YDR156W	0	0	0	0	0	0	0	0	5
YDR157W	0	0	0	0	0	0	0	0	5
YDR158W	2389	1965	1349	1733	2278	1141	1661	971	5
YDR159W	0	0	0	0	0	0	0	0	5
YDR160W	0	0	0	0	0	0	0	0	5
YDR161W	0	0	0	0	0	0	0	0	5
YDR162C	0	0	0	0	0	0	0	0	5
YDR163W	0	0	0	0	0	0	0	0	5
YDR164C	0	0	0	0	0	0	0	0	5
YDR166C	0	0	0	23	0	0	0	0	5
YDR169C	0	0	0	0	0	0	0	0	5
YDR171W	0	0	0	0	0	0	0	0	5
YDR172W	0	0	0	0	0	0	0	0	5
YDR173C	0	0	0	0	0	0	0	0	5
YDR175C	0	0	0	0	0	0	0	0	5
YDR176W	0	0	0	0	0	0	0	0	5
YDR177W	0	0	0	0	0	0	0	0	5
YDR178W	0	0	0	0	0	0	0	0	5
YDR179C	0	0	0	0	0	0	0	0	5
YDR179W-A	0	0	0	0	0	0	0	0	5
YDR181C	0	0	0	0	0	0	0	0	5
YDR182W	0	0	0	0	0	0	0	0	5
YDR183W	0	0	0	0	0	0	0	0	5
YDR184C	0	0	0	0	0	0	0	0	5
YDR185C	0	0	0	0	0	0	0	0	5
YDR186C	0	0	0	0	0	0	0	0	5
YDR187C	0	0	0	0	0	0	0	0	5
YDR189W	0	0	0	0	0	0	0	0	5
YDR190C	0	0	0	0	0	0	0	0	5
YDR191W	0	0	0	0	0	33	0	0	5
YDR192C	0	0	0	0	0	0	0	0	5
YDR193W	0	0	0	0	0	0	0	0	5
YDR194C	0	0	0	0	0	0	0	0	5
YDR195W	0	0	0	0	0	0	0	0	5
YDR196C	0	0	0	0	0	0	0	0	5
YDR197W	0	0	0	0	0	0	0	65	5
YDR198C	0	0	0	0	0	0	0	0	5
YDR199W	0	0	0	0	0	0	0	0	5
YDR200C	0	0	0	0	0	0	0	0	5
YDR201W	0	0	0	0	0	0	0	0	5
YDR202C	0	0	0	0	0	0	0	0	5
YDR203W	0	0	0	0	0	0	0	0	5
YDR204W	0	0	0	0	0	0	0	0	5
YDR205W	0	0	0	0	0	0	0	0	5
YDR206W	0	0	0	0	0	0	0	0	5
YDR208W	0	0	0	0	0	0	0	16	5
YDR209C	0	0	0	0	0	0	0	0	5
YDR210W	0	0	0	0	0	0	0	0	5
YDR210W-B	0	0	0	55	59	48	0	0	5
YDR211W	0	0	0	0	0	41	0	0	5
YDR212W	0	0	0	0	0	0	0	0	5
YDR213W	0	0	0	0	0	7	0	0	5
YDR214W	0	0	0	0	0	0	0	0	5
YDR215C	0	0	0	0	0	0	0	0	5
YDR216W	0	0	0	0	0	0	0	0	5
YDR218C	0	0	0	0	0	0	0	0	5
YDR219C	0	0	0	0	0	0	0	0	5
YDR220C	0	0	0	0	0	0	0	0	5
YDR221W	0	0	0	0	0	0	0	0	5
YDR222W	0	0	0	0	0	0	0	0	5
YDR223W	0	0	0	0	0	0	0	0	5
YDR224C	0	0	0	0	0	0	0	0	5
YDR225W	0	0	0	0	0	0	0	0	5
YDR227W	0	0	0	0	0	0	0	0	5
YDR228C	0	0	0	0	0	0	82	0	5
YDR229W	0	0	0	0	0	0	0	0	5
YDR230W	0	0	0	0	0	0	0	0	5
YDR231C	0	0	0	0	0	0	0	0	5
YDR232W	0	0	0	0	0	0	0	0	5
YDR233C	137	0	0	0	0	0	0	0	5
YDR235W	0	0	0	0	0	0	0	0	5
YDR236C	0	0	0	0	0	0	0	0	5
YDR237W	0	0	0	0	0	0	0	0	5
YDR238C	0	0	0	0	0	23	0	0	5
YDR239C	0	0	0	0	0	0	0	0	5
YDR240C	0	0	0	0	0	0	0	0	5
YDR241W	0	0	0	0	0	0	0	0	5
YDR242W	0	0	0	0	0	0	0	0	5
YDR243C	0	0	0	0	0	0	0	0	5
YDR244W	0	0	0	0	0	0	0	0	5
YDR245W	0	0	0	0	0	0	0	0	5
YDR246W	0	0	0	0	0	0	0	0	5
YDR247W	0	0	0	0	0	0	0	0	5
YDR248C	0	0	0	0	0	0	0	0	5
YDR250C	0	0	0	0	0	0	0	0	5
YDR252W	0	0	0	0	0	0	0	0	5
YDR253C	0	0	0	0	0	0	0	0	5
YDR254W	0	0	8	0	0	0	0	0	5
YDR255C	0	0	0	0	0	0	0	0	5
YDR256C	0	0	0	0	0	0	0	0	5
YDR257C	0	0	0	0	0	0	0	0	5
YDR258C	0	0	0	0	0	0	0	0	5
YDR259C	0	0	0	0	0	0	0	0	5
YDR260C	0	0	0	0	0	0	0	0	5
YDR261C	0	0	0	0	0	0	0	0	5
YDR261W-B	0	0	0	0	0	0	28	0	5
YDR262W	0	0	0	0	0	0	0	0	5
YDR263C	0	0	0	0	0	0	0	0	5
YDR264C	0	0	0	0	0	0	0	0	5
YDR265W	0	0	0	0	0	0	0	0	5
YDR266C	0	0	0	0	0	12	0	0	5
YDR267C	0	0	0	0	0	0	0	0	5
YDR268W	0	0	0	0	0	0	0	0	5
YDR269C	0	0	0	0	0	0	0	0	5
YDR270W	0	0	0	0	0	0	0	0	5
YDR271C	0	0	0	0	0	0	0	0	5
YDR273W	0	0	0	0	0	0	0	0	5
YDR274C	0	0	0	0	0	0	0	0	5
YDR275W	0	0	0	0	0	0	0	0	5
YDR276C	0	0	0	0	0	0	0	0	5
YDR277C	0	0	0	0	0	0	0	0	5
YDR278C	0	0	0	0	0	0	0	0	5
YDR280W	0	0	0	0	0	0	0	0	5
YDR281C	0	0	0	0	0	0	0	0	5
YDR282C	0	0	0	14	0	0	0	0	5
YDR283C	0	0	0	0	0	0	0	30	5
YDR284C	0	0	0	0	0	0	0	0	5
YDR285W	0	0	0	0	0	0	0	0	5
YDR286C	0	0	0	0	0	0	0	0	5
YDR287W	0	0	55	0	0	0	0	0	5
YDR288W	0	0	0	0	0	0	0	0	5
YDR289C	0	0	0	0	0	0	0	0	5
YDR290W	0	0	0	0	0	0	0	0	5
YDR291W	0	0	0	0	0	0	0	0	5
YDR292C	0	0	0	0	0	0	0	0	5
YDR294C	0	0	0	0	0	0	23	0	5
YDR295C	0	0	0	0	0	0	0	0	5
YDR296W	0	0	0	0	0	0	0	0	5
YDR297W	0	0	0	0	0	0	0	0	5
YDR300C	0	0	0	0	0	0	0	0	5
YDR301W	6	0	0	0	0	0	0	0	5
YDR302W	0	0	0	0	0	0	0	0	5
YDR303C	0	0	0	0	0	0	0	0	5
YDR305C	0	0	0	0	0	0	0	0	5
YDR306C	0	0	0	0	0	0	0	0	5
YDR307W	0	0	0	0	0	0	0	0	5
YDR309C	0	0	0	0	0	0	0	0	5
YDR313C	0	0	0	0	0	0	0	0	5
YDR314C	0	0	0	0	0	0	0	0	5
YDR315C	0	0	0	0	0	0	0	0	5
YDR316W	0	0	0	0	0	0	0	0	5
YDR317W	0	0	0	0	0	0	0	0	5
YDR318W	0	0	0	0	0	0	0	0	5
YDR319C	0	0	0	0	0	0	0	0	5
YDR320C	0	0	0	0	0	0	0	0	5
YDR321W	0	0	0	0	0	0	0	0	5
YDR322C-A	0	1292	0	1616	1159	4296	0	0	5
YDR322W	0	0	0	0	0	0	0	0	5
YDR323C	0	0	0	0	0	0	0	0	5
YDR324C	0	0	0	0	0	0	0	0	5
YDR325W	0	0	0	0	0	0	0	0	5
YDR326C	0	0	0	0	0	0	0	0	5
YDR327W	0	0	0	0	0	0	0	0	5
YDR329C	0	0	0	0	0	0	0	0	5
YDR330W	0	0	0	0	0	0	0	0	5
YDR331W	0	14	0	0	0	0	0	0	5
YDR332W	0	0	0	0	0	0	0	0	5
YDR333C	0	0	0	0	20	0	0	0	5
YDR335W	0	0	0	0	0	0	0	0	5
YDR336W	0	0	0	0	0	0	0	0	5
YDR338C	0	0	0	0	0	0	0	0	5
YDR339C	0	0	0	0	0	0	0	0	5
YDR340W	0	0	0	0	0	0	0	0	5
YDR342C	0	0	0	0	0	0	0	0	5
YDR343C	0	0	0	0	0	0	0	0	5
YDR344C	76	0	0	0	0	0	0	0	5
YDR345C	0	0	0	0	0	0	0	0	5
YDR346C	0	0	0	0	0	0	0	0	5
YDR347W	0	0	0	0	0	0	0	0	5
YDR348C	0	0	0	0	0	0	0	0	5
YDR349C	0	0	0	0	0	0	0	0	5
YDR350C	86	0	0	0	0	0	0	0	5
YDR351W	0	24	0	0	0	0	0	0	5
YDR352W	0	0	0	0	0	0	0	0	5
YDR355C	0	0	0	0	0	0	0	0	5
YDR356W	0	0	0	0	0	0	0	0	5
YDR357C	0	0	0	0	0	0	0	0	5
YDR358W	0	0	0	0	0	0	0	0	5
YDR360W	0	0	0	0	0	0	0	0	5
YDR361C	0	0	0	0	10	0	0	0	5
YDR362C	0	0	0	0	0	0	0	0	5
YDR363W	0	0	0	0	0	0	0	0	5
