R0	R10	R20	R30	R40	R60	R90	fit.cluster
YHR201C	1.41	1.63	1.48	1.44	1.72	1.67	1.53	4
YHR202W	0.68	0.82	0	0.95	0	0.6	0.69	4
YHR205W	2.4	1.34	1.34	1.42	2.02	1.71	1.95	4
YHR206W	1.13	0.6	0.57	0.6	0.73	1.21	0.93	4
YHR207C	0.82	0.58	0.51	0.52	0.53	0.66	0.86	4
YHR209W	0.55	0.97	1.47	2.11	2.27	2.18	1.06	4
YHR210C	0	0	0	0	0	0	0	4
YHR211W	0.29	0.21	0.22	0.25	0.27	0.26	0.29	4
YHR212C	0.32	0.29	0.32	0.34	0.26	0.27	0.29	4
YHR213W	0.16	0.11	0.12	0.13	0.15	0.12	0.17	4
YHR214C-B	0	0	0	0	0	0	0	4
YHR214W	0.5	0.38	0.41	0.45	0.55	0.53	0.66	4
YHR214W-A	0	0	0	0	0	0	0	4
YHR215W	0.99	0.5	0.22	0.2	0.3	0.5	0.32	4
YHR217C	0	0	0	0	0	0	0	4
YHR218W	0.46	0.39	0.4	0.39	0.42	0.31	0.37	4
YHR219W	3.17	2.95	2.85	3.25	3.04	2.29	2.72	4
YIL001W	0.45	0.49	0.52	0.5	0.54	0.58	0.66	4
YIL003W	0.4	0.37	0.34	0.35	0.36	0.45	0.46	4
YIL004C	1.05	1.38	1.16	1.1	1.22	0.9	0.93	4
YIL005W	0.7	0.76	0.8	0.64	0.83	0.55	0.69	4
YIL006W	0	0	0	0	0	0	0	4
YIL007C	0.73	1.13	0.81	0.88	1	0.78	0.82	4
YIL008W	3.25	3.25	2.04	1.66	1.88	3.03	3.03	4
YIL009C-A	0	0	0	0	0	0	0	4
YIL009W	0	0	0	0	0	0	0	4
YIL010W	1.41	2.23	2.23	2.26	2.4	2.34	2.08	4
YIL011W	1.92	1.52	1.06	0.92	0.82	0.73	0.88	4
YIL012W	0	0	0	0	0	0	0	4
YIL013C	0.82	0.64	0.89	0.72	0.78	0.51	0.51	4
YIL014W	0.74	0.57	0.58	0.66	0.77	0.75	0.83	4
YIL015C-A	0	0	0	0	0	0	0	4
YIL016W	1.39	1.48	1	0.83	0.83	1.13	1.21	4
YIL018W	38.32	47.17	27.28	17.27	16.91	25.28	29.04	2
YIL019W	1.06	0.22	0.15	0.21	0.18	0.49	0.79	4
YIL020C	1.01	0.84	0.62	0.61	0.6	0.65	0.8	4
YIL022W	0.88	1.32	1.53	1.51	1.56	1.17	0.92	4
YIL023C	1.02	1.2	1.36	1.46	1.78	1.54	1.43	4
YIL024C	0.45	0.51	0.61	0.49	0.52	0.5	0.37	4
YIL025C	0	0	0	0	0	0	0	4
YIL026C	0.78	0.64	0.61	0.64	0.69	0.61	0.77	4
YIL027C	2.18	2.7	2.35	1.98	2.23	2.37	2.35	4
YIL028W	0.29	0.3	0.32	0.33	0	0.35	0.22	4
YIL029C	1.13	1.26	1.42	1.17	1.38	1.38	1.07	4
YIL030C	2.3	1.48	1.88	2.26	2.4	2.72	2.35	4
YIL032C	0	0	0	0	0	0	0	4
YIL033C	2.01	4.01	5.33	4.87	4.87	3.66	2.43	4
YIL034C	2.77	4.82	5.58	5.39	4.89	4.17	3.07	4
YIL035C	2.94	3.33	3.45	2.82	3.07	2.56	2.74	4
YIL036W	0.77	1.17	1.46	1.31	1.39	1.11	0.81	4
YIL037C	0	0	0	0	0	0	0	4
YIL038C	1.63	0.96	0.93	0.9	1.21	0.91	1.29	4
YIL039W	2.11	2.17	1.94	1.8	2.01	2.47	2.29	4
YIL040W	2.17	2.33	1.78	1.78	2.08	3.13	2.33	4
YIL042C	0.47	0.54	0.56	0.63	0.67	0.68	0.62	4
YIL043C	7.52	8.52	7.16	6.55	6.68	8.82	8.88	1
YIL044C	1.07	1.15	1.06	1.02	1.13	1.19	1.21	4
YIL045W	0.49	0.53	0.72	0.61	0.43	0.61	0.61	4
YIL047C	1.56	0.58	0.52	0.66	0.82	1.55	1.38	4
YIL048W	1.04	0.95	1.09	1.27	1.52	1.11	1.16	4
YIL049W	0.82	0.88	0.88	0.96	0.84	0.9	0.72	4
YIL050W	0.62	0.91	1.01	1.02	1.16	0.93	0.7	4
YIL052C	24.5	34.17	19.63	12.25	11.51	16.16	17.45	2
YIL054W	0.59	0.48	0.43	0.5	0.44	0.44	0	4
YIL055C	0.2	0.2	0.19	0.36	0.25	0.27	0.2	4
YIL056W	0.74	1.22	0.81	0.6	0.54	0.5	0.65	4
YIL057C	0	0	0	0	0	0	0	4
YIL058W	0	0	0	0	0	0	0	4
YIL059C	0.72	0.64	0.62	0.72	0.72	0.85	0.61	4
YIL060W	0	0	0	0	0	0	0	4
YIL061C	0.37	0.3	0.34	0.39	0.31	0.49	0.39	4
YIL064W	0	0	0	0	0	0	0	4
YIL065C	1.13	1.99	2.54	3.28	3.37	1.38	1.25	4
YIL066C	0.97	0	0	0	0	0	0	4
YIL067C	0.66	0	0	0	0	0	0	4
YIL068C	1.2	1.08	1.19	1.15	1.21	0.89	1.14	4
YIL069C	20.71	0	0	0	0	0	0	4
YIL070C	1.52	0	0	0	0	0	0	4
YIL071C	0.49	0.56	0.63	0.56	0.65	0.51	0.54	4
YIL072W	0	0	0	0	0	0	0	4
YIL073C	0.45	0.4	0.33	0.4	0.37	0.35	0.43	4
YIL074C	1.7	2.69	2.84	2.51	3.17	3.28	2.24	4
YIL075C	2.93	0	0	0	0	0	0	4
YIL076W	3.9	0	0	0	0	0	0	4
YIL079C	0.9	0.38	0.32	0.46	0.47	0.6	0.72	4
YIL080W	0	0	0	0	0	0	0	4
YIL082W	0.34	0.38	0.32	0.44	0.41	0.41	0.41	4
YIL082W-A	0	0	0	0	0	0	0	4
YIL084C	0.74	0.71	0.71	0.72	0.67	0.67	0.69	4
YIL085C	1.85	1.51	1.19	1.03	1.11	1.38	1.53	4
YIL086C	0	0	0	0	0	0	0	4
YIL087C	0.63	1.28	1.73	2.03	1.77	1.22	0.67	4
YIL088C	1.25	1.53	1.86	2.09	2.32	1.89	1.44	4
YIL089W	0	0	0	0	0	0	0	4
YIL090W	1.51	0	0	0.8	0	0	0	4
YIL091C	1.27	0.74	0.54	0.29	0.55	0.76	0.88	4
YIL093C	1.35	1.09	1.18	1.02	0.95	0.98	0.39	4
YIL094C	3.4	3.54	2.57	1.94	2.3	2.68	3.74	4
YIL095W	0.62	0.55	0.54	0.49	0.54	0.48	0.53	4
YIL096C	1.27	0.43	0.34	0.34	0.41	0.88	1.25	4
YIL097W	0.42	0.71	0.81	0.78	0.62	0.45	0.47	4
YIL098C	1.39	2.9	3.35	3.4	2.88	1.59	1.33	4
YIL099W	0.22	0.5	0.58	0.79	0.6	0.4	0.25	4
YIL100W	0	0	0	0	0	0	0	4
YIL101C	0.56	2.34	4.18	3.37	4.21	1.34	2.01	4
YIL102C	0	0	0	0	0	0	0	4
YIL103W	1.32	0.83	0.5	0.61	0.76	1.23	1.41	4
YIL104C	0.9	0.5	0.48	0.58	0.57	0.64	0.81	4
YIL105C	1.64	1.5	1.79	1.57	1.7	1.44	1.66	4
YIL106W	0.82	0.9	0.86	0.87	0.92	0.78	0.92	4
YIL107C	1.4	2.85	3.89	4	4.2	1.74	2.25	4
YIL108W	0.79	1.01	1.06	1.16	1.52	1.88	1.37	4
YIL109C	2.6	1.61	2.02	2.96	0	3.83	3.47	4
YIL111W	2.14	6.76	5.97	8.5	8.04	6.01	3.48	1
YIL112W	2.2	1.89	2.14	2.29	2.6	1.67	2.22	4
YIL113W	0	0	0	0	0	0	0	4
YIL114C	0.95	1.08	1.05	0.97	1.11	1.27	0.86	4
YIL116W	1.67	1.86	1.56	1.44	1.91	1.96	2.03	4
YIL117C	1.77	3.1	4.03	6.83	9.13	11.4	5.86	1
YIL118W	3.13	3.74	3.69	3.54	4.45	4.91	4.1	4
YIL119C	0.85	0.76	0.78	0.75	0.94	0.41	0.82	4
YIL120W	0.22	0.22	0.25	0.29	0.37	0.36	0.32	4
YIL121W	0.76	1.09	1.36	1.4	1.26	0.79	0.66	4
YIL122W	0.72	0.67	0.8	0.83	0.77	0.75	0.59	4
YIL123W	4.29	3.2	2.83	3.86	4.66	6.02	6.68	4
YIL124W	2.07	5.27	7.45	6.95	7.77	4.22	3.18	1
YIL127C	1.58	0.54	0.35	0.38	0.6	1.21	1.43	4
YIL128W	0.87	0.56	0.65	0.63	0.74	0.64	0.78	4
YIL130W	1.03	0.57	0.63	0.73	0.81	0.84	1.02	4
YIL131C	0	0	0	0	0	0	0	4
YIL132C	0	0	0	0	0	0	0	4
YIL134W	0.69	0.85	0.81	0.82	0.81	0.82	0.69	4
YIL135C	1.28	1.84	2.04	1.92	2.38	1.93	1.58	4
YIL136W	0.6	3.39	7.64	6.38	6.38	2.42	1.46	4
YIL139C	0	0	0	0	0	0	0	4
YIL140W	0.86	0.64	0.74	0.86	1.16	1.26	1.3	4
YIL141W	0	0	0	0	0	0	0	4
YIL142W	2.95	4.14	4.46	4.5	4.59	5.89	4.14	4
YIL143C	0	0	0	0	0	0	0	4
YIL144W	0.65	0.48	0.57	0.51	0.52	0.4	0.61	4
YIL145C	0	0	0	0	0	0	0	4
YIL146C	0.46	0.35	0.4	0.46	0.42	0.56	0.52	4
YIL147C	0	0	0	0	0	0	0	4
YIL148W	21.77	31.43	20.74	14.97	13.49	17.44	16.96	2
YIL150C	0	0	0	0	0	0	0	4
YIL152W	0	0	0	0	0	0	0	4
YIL153W	0.59	0.7	0.71	0.75	0.97	0.88	0.7	4
YIL154C	1.68	1.99	2.21	1.84	1.74	2.24	2.16	4
YIL155C	1.26	2.16	2.47	2.86	2.98	1.64	1.61	4
YIL156W	0	0	0	0	0	0	0	4
YIL156W-A	0	0	0	0	0	0	0	4
YIL157C	2.75	4.38	4.92	5.03	5.24	3.76	2.77	4
YIL158W	2.21	2.47	1.96	2.08	2.11	1.52	1.86	4
YIL160C	0.23	0.18	0.46	0.6	0.67	0.35	0.21	4
YIL161W	0.93	0.61	0.76	0.89	1.24	0.89	0.74	4
YIL162W	0	0	0	0	0	0	0	4
YIL163C	0	0	0	0	0	0	0	4
YIL164C	0.5	0.6	0.64	0.64	0.44	0.57	0.49	4
YIL165C	0.79	1.03	0.83	0	0.8	0.93	0.66	4
YIL166C	0.32	0.32	0.34	0.41	0.26	0.38	0.39	4
YIL167W	0	0	0	0	0	0	0	4
YIL168W	0	0	0	0	0	0	0	4
YIL169C	0.51	0	0	0	0.61	0	0	4
YIL170W	0	0	0	0	0	0	0	4
YIL171W	0	0	0	0	0	0	0	4
YIL172C	0.26	0.47	0.44	0.38	0.27	0.28	0.23	4
YIL173W	0.38	0.29	0.27	0.3	0.3	0.25	0.26	4
YIL174W	0	0	0	0	0	0	0	4
YIL175W	0	0	0	0	0	0	0	4
YIL176C	0.98	1.13	0.99	1.05	1.22	1.47	1.63	4
YIL177C	0	0	0	0	0	0	0	4
YIR001C	0.7	0.78	0.7	0.56	0.58	0.6	0.69	4
YIR002C	0	0	0	0	0	0	0	4
YIR003W	0.7	0.8	1.06	1.12	1.05	0.63	0.73	4
YIR004W	1.25	0.96	1	0.92	1.15	0.96	1.07	4
YIR005W	0.88	0.89	0.92	0.92	0.73	0.78	0.78	4
YIR008C	0.75	0.89	0.89	0.83	1	0.77	0.85	4
YIR009W	0.4	0.51	0.48	0.52	0.47	0.42	0.4	4
YIR010W	0	0	0	0	0	0	0	4
YIR011C	1.59	1.8	1.75	2.12	1.89	2.17	1.89	4
YIR012W	0	0	0	0	0	0	0	4
YIR013C	0	0	0	0	0	0	0	4
YIR014W	0	0	0	0	0	0	0	4
YIR015W	0	0	0	0	0	0	0	4
YIR016W	0	0	0	0	0	0	0	4
YIR017C	0	0	0	0	0	0	0	4
YIR018W	0	0	0	0	0	0	0	4
YIR019C	0	0	0	0	0	0	0	4
YIR020C	0	0	0	0	0	0	0	4
YIR021W	0	0	0	0	0	0	0	4
YIR022W	2.59	3	2.61	2.9	3.42	3.75	3.17	4
YIR023W	0	0	0	0	0	0	0	4
YIR024C	0.63	0.93	0.97	0.99	0.99	0.85	0.76	4
YIR025W	0.32	0.33	0.36	0.34	0.34	0.33	0.32	4
YIR026C	1.4	0.62	0.32	0.31	0.43	1.04	1.16	4
YIR027C	0	0	0	0	0	0	0	4
YIR028W	0	0	0	0	0	0	0	4
YIR029W	0.94	1.01	0.92	1.17	0.9	1.07	0.84	4
YIR030C	0.3	0.34	0.26	0.3	0.32	0.36	0.34	4
YIR031C	0.27	0.33	0.3	0.33	0.36	0.35	0.43	4
YIR032C	0.46	0.58	0.53	0.78	0.76	0.71	0.57	4
YIR033W	1.15	0.84	0.75	0.71	0.86	0.91	1.38	4
YIR035C	1.68	1.64	1.23	1.11	1.18	3.01	2	4
YIR036C	0.78	1.52	2.14	2.49	2.69	2.19	1.16	4
YIR038C	1.72	3.94	6.72	10.11	14.3	10.69	3.97	1
YIR039C	0.28	0.49	1.01	0.89	1.18	0.61	0.4	4
YIR040C	0	0	0	0	0	0	0	4
YIR041W	0.58	0.65	0.72	0.64	0.78	0.79	0.75	4
YIR042C	0.33	0.33	0.32	0.3	0.28	0.37	0.32	4
YIR043C	0	0	0	0	0	0	0	4
YIR044C	0	0	0	0	0	0	0	4
YJL001W	3.75	8.49	10.82	9.35	10.75	11.28	6.66	1
YJL002C	3.29	3.53	3.53	3.68	4.08	4.17	3.63	4
YJL003W	1.06	1.77	1.86	1.53	1.78	1.22	1.18	4
YJL004C	1.3	1.32	1.24	1.22	1.35	1.33	1.37	4
YJL006C	0.89	0.72	0.67	0.63	0.78	0.99	0.99	4
YJL007C	0	0	0	0	0	0	0	4
YJL008C	2.63	2.94	3.42	3.22	3.69	4.19	3.13	4
YJL009W	1.78	2.69	2.9	2.25	2.64	3.01	2.08	4
YJL010C	1.39	0.54	0.4	0.52	0.56	0.85	1.04	4
YJL011C	1.53	1.23	1	1.04	0.98	1.32	1.34	4
YJL012C	4.61	0.28	1.33	0	0	4.61	3.82	4
YJL013C	0	0	0	0	0	0	0	4
YJL014W	2.78	3.28	3.19	3.26	3.52	3.88	3.15	4
YJL015C	0.81	1.13	1.55	1.69	1.17	1.21	0.77	4
YJL017W	0.65	0.74	1.08	1.21	0.93	0.97	0.67	4
YJL018W	0	0	0	0	0	0	0	4
YJL019W	0	0	0	0	0	0	0	4
YJL021C	0	0	0	0	0	0	0	4
YJL022W	1.17	1	1.16	1.33	1.27	1.17	1.03	4
YJL023C	0.73	0.92	0.88	0.9	0.73	0.9	0.78	4
YJL024C	0.65	0.72	0.71	0.76	0.81	0.87	0.72	4
YJL025W	0.65	0.37	0.34	0.41	0.41	0.43	0.58	4
YJL026W	6.9	8.74	7.1	7.1	8.15	11.06	10.39	1
YJL027C	0	0	0	0	0	0	0	4
YJL028W	0	0	0	0	0	0	0	4
YJL029C	1.12	1.13	1.13	1.07	1.15	0.92	1.09	4
YJL030W	1.7	1.65	1.72	1.68	1.88	1.52	1.12	4
YJL031C	1.65	3.39	4.04	3.56	3.28	3.54	2.64	4
YJL032W	0	0	0	0	0	0	0	4
YJL035C	0.76	0.83	0.68	0.76	0.83	1.4	1.12	4
YJL036W	0.78	1.14	1.48	1.35	1.22	1.21	1.07	4
YJL037W	0	0	0	0	0	0	0	4
YJL038C	0	0	0	0	0	0	0	4
YJL039C	1.4	1.22	1.34	1.22	1.05	1.12	1.02	4
YJL043W	0	0	0	0	0	0	0	4
YJL044C	0.8	0.78	0.76	0.81	0.82	0.75	0.74	4
YJL045W	0.23	0.37	0.44	0.71	0.99	0.65	0.22	4
YJL046W	0	0	0	0	0	0	0	4
YJL047C	0.78	0.6	0.67	0.62	0.68	0.62	0.63	4
YJL048C	1.65	4.46	5.52	6.09	4.68	7.39	4.3	1
YJL050W	1.36	0.5	0.47	0.41	0.48	0.8	0.99	4
YJL051W	0.58	0.42	0.52	0	0.47	0.22	0.4	4
YJL053W	1.79	2.68	2.8	2.4	2.76	2.57	2.27	4
YJL054W	1.66	2.88	1.86	1.96	1.73	1.98	1.69	4
YJL055W	2.76	5.23	5.76	4.65	5.02	4.1	3.43	4
YJL056C	0	0	0	0	0	0	0	4
YJL058C	0	0	0	0	0	0	0	4
YJL059W	1.28	1.56	1.42	1.51	1.43	1.16	1.35	4
YJL060W	0.68	1.37	1.48	1.45	1.24	0.89	0.74	4
YJL061W	1.2	0.92	1.02	1.24	0.91	1.62	0.96	4
YJL063C	1.11	2.15	2.07	2.26	1.87	1.23	0.87	4
YJL064W	0	0	0	0	0	0	0	4
YJL065C	1	1.19	0.9	0.87	0.96	1.05	1.11	4
YJL066C	1.05	2.89	3.63	3.32	3.36	2.41	1.36	4
YJL067W	0	0	0	0	0	0	0	4
YJL069C	1.4	0.37	0.23	0.34	0.49	0.78	1.06	4
YJL070C	0.61	0.87	1.01	0.97	1.01	0.54	0.56	4
YJL071W	0.86	0.84	0.7	0.7	0.68	1.14	1.59	4
YJL072C	0.91	1.03	0.98	0.98	1.01	0.93	1.03	4
YJL073W	0.71	0.55	0.64	0.74	0.96	1.06	1.08	4
YJL074C	0.89	0.54	0.51	0.52	0.61	0.63	0.78	4
YJL075C	1.2	0.69	0.68	0.54	0.71	0.74	0.98	4
YJL077C	0	0	0	0	0	0	0	4
YJL078C	0.94	0.81	0.71	0.84	0.76	0.82	0.63	4
YJL079C	1.56	1.67	1.59	2.24	2.66	2.79	1.87	4
YJL081C	0.8	0.59	0.58	0.58	0.62	0.77	0.84	4
YJL082W	0.6	1.01	0.93	0.84	0.78	0.55	0.73	4
YJL084C	0.8	0.48	0.58	0.65	0.71	0	0.49	4
YJL085W	0.39	0.31	0.34	0.31	0.35	0.27	0.32	4
YJL086C	0	0	0	0	0	0	0	4
YJL087C	0.7	0.39	0.34	0.37	0.41	0.42	0.57	4
YJL088W	0	0	0	0	0	0	0	4
YJL089W	0	0	0	0	0	0	0	4
YJL090C	1.04	0.76	0.79	0.81	0.89	1.16	1.12	4
YJL091C	1.33	1.63	1.65	1.93	2.26	2.24	2.26	4
YJL093C	1.22	1.19	1.29	1.46	1.46	1.4	1.55	4
YJL094C	1.39	1.48	1.74	1.81	1.82	2.37	1.72	4
YJL096W	1.29	2.19	2.62	2.3	2.21	1.53	1.38	4
YJL097W	1.9	2.23	1.9	1.85	1.82	2.11	2.31	4
YJL098W	1.05	0.34	0.24	0.33	0.44	0.51	0	4
YJL099W	0.43	0.54	0.59	0.61	0.65	0.55	0.49	4
YJL100W	0.44	0.75	0.84	0.74	0.67	0.69	0.61	4
YJL101C	0.92	2.87	2.72	2.28	2.3	1.39	1.49	4
YJL102W	0.5	1.45	1.97	1.27	1.25	0.65	0.63	4
YJL103C	0.28	0.67	0.59	0.48	0.48	0.34	0.21	4
YJL104W	1.26	1.62	1.85	1.71	1.69	1.46	1.41	4
YJL105W	0	0	0	0	0	0	0	4
YJL106W	0.54	0.56	0.71	0.7	0.68	0.7	0.53	4
YJL107C	0.62	0.3	0.44	0.46	0.63	0.66	0.88	4
YJL108C	0.51	0.43	0.55	0.57	0.6	0.6	0.7	4
YJL110C	1.58	1.33	1.43	1.35	1.35	1.03	1.69	4
YJL111W	2.85	3.27	3.06	3.25	3.34	3.61	2.73	4
YJL113W	0	0	0	0	0	0	0	4
YJL114W	0	0	0	0	0	0	0	4
YJL115W	1.01	0.81	0.79	0.81	1.19	1.13	1.14	4
YJL116C	0.72	1.04	1.31	2.29	1.76	5.53	2.56	4
YJL117W	1.97	2.01	1.6	1.75	2.31	2.39	2.19	4
YJL118W	1.29	1.11	0.85	0.88	1.1	1.26	1.42	4
YJL119C	0.84	0.68	0.57	0.63	0.63	0.8	0.77	4
YJL120W	1.28	1.2	1.23	1.11	0.91	1.02	1.1	4
YJL122W	1.95	0.93	0.49	0.51	0.76	1.43	1.66	4
YJL124C	1.85	2.31	2.17	1.74	1.78	2	1.73	4
YJL125C	1.58	0.76	0.6	0.68	0.85	1.25	1.43	4
YJL126W	0	0	0	0	0	0	0	4
YJL127C	1.02	0.52	0.65	0.62	0.69	0.81	0.95	4
YJL128C	0.95	1.19	1.48	1.38	1.4	1.58	1.13	4
YJL129C	1.54	0.91	0.92	0.91	1.15	1.06	1.31	4
YJL131C	0.65	1.26	1.41	1.29	1.25	0.61	0.65	4
YJL132W	1.15	1.67	1.87	2.1	2.12	1.28	1.12	4
YJL133W	0	0	0	0	0	0	0	4
YJL134W	1.41	1.35	1.17	1.07	1.11	1.15	1.2	4
YJL135W	0.96	0.88	0.77	0.81	0.75	0.79	0.78	4
YJL137C	0	0	0	0	0	0	0	4
YJL139C	0.44	0.37	0.37	0.47	0.47	0.53	0.45	4
YJL141C	0.45	0.44	0.7	0.73	0.67	0.57	0.49	4
YJL142C	1.21	2.18	2.57	2.43	1.77	1.7	1.43	4
YJL143W	3.15	4.28	3.96	4.25	4.62	4.05	2.94	4
YJL144W	0	0	0	0	0	0	0	4
YJL145W	1.78	1.78	1.43	1.45	1.55	2.19	1.99	4
YJL146W	0.5	0.61	0.62	0.66	0.58	0.52	0.57	4
YJL147C	0.56	0.41	0.4	0.37	0.48	0.46	0.53	4
YJL148W	4.06	1.91	0.93	1.13	1.54	2.35	2.72	4
YJL149W	0.51	0.48	0.57	0.68	0.82	0.54	0.7	4
YJL150W	0	0	0	0	0	0	0	4
YJL151C	4.85	9.64	10.05	12.37	9.98	11.62	6.82	1
YJL152W	1.27	2.71	2.53	2.75	2.3	2.75	1.84	4
YJL153C	0	0	0	0	0	0	0	4
YJL154C	1.12	1.14	1.47	1.37	1.6	1.58	1.41	4
YJL155C	1.06	3.13	3.21	2.96	2.18	0	0.45	4
YJL156C	0.59	0.43	0.48	0.55	0.56	0.53	0.58	4
YJL157C	2.22	1.07	0.91	1.13	1.53	1.09	1.07	4
YJL158C	20.76	25.91	23.03	31.46	36.64	49.71	42.09	2
YJL160C	0.68	0.73	0.63	0.89	1.05	0.87	0.5	4
YJL161W	2.5	8.45	15.66	17.87	20.95	8.45	5.03	1
YJL162C	0.71	0.5	0.55	0.47	0.58	0.5	0.63	4
YJL163C	1.3	4.6	4.03	4.9	3.95	1.5	0	4
YJL164C	0	0	0	0	0	0	0	4
YJL166W	4.73	12.56	9.86	7.89	7.26	6.59	5.21	1
YJL168C	1.04	0.75	0.84	0.73	0.81	0.42	0.82	4
YJL169W	1.77	1.66	1.54	1.26	1.39	0.92	1.32	4
YJL170C	0	0	0	0	0	0	0	4
YJL171C	5.77	8.33	8.69	10.77	9.91	15.98	9.77	1
YJL172W	1.46	1.83	2.39	3.25	3.29	2.83	2.04	4
YJL173C	2.82	4.02	3.35	2.96	3.22	3.8	3.72	4
YJL174W	4.25	5.2	4.43	4.47	5.02	5.5	5.27	1
YJL175W	0	0	0	0	0	0	0	4
YJL178C	2.53	3.27	2.64	2.52	2.79	2.93	3.3	4
YJL179W	1.65	1.7	1.23	1.23	1.34	1.47	1.61	4
YJL180C	0.82	1.46	1.73	1.5	1.37	0.96	0.86	4
YJL181W	0.68	0.6	0.68	0.73	0.85	0.37	0.62	4
YJL182C	0	0	0	0	0	0	0	4
YJL183W	2.02	1.88	1.73	1.79	1.98	1.73	2.32	4
YJL185C	0.62	0.77	0.88	1.02	1.16	0.93	0.79	4
YJL186W	1.9	2.05	1.99	2.18	2.61	2.3	2.19	4
YJL187C	0.78	0.58	0.62	0.63	0.74	0.6	0.97	4
YJL188C	6.53	9.36	6.13	4.84	4.19	5.68	6.09	1
YJL189W	26.8	35.6	22.85	18.18	16.38	21.92	20.31	2
YJL191W	8.07	9.47	5.67	4.36	4.27	5	5.07	1
YJL192C	2.84	3.5	3.24	2.98	3.38	3.29	3.35	4
YJL193W	0.81	0.68	0.58	0.63	0.72	0.79	0.63	4
YJL194W	0.65	0	0	0	0	0	0.48	4
YJL195C	0	0	0	0	0	0	0	4
YJL196C	4.98	6.66	6.09	6.39	6.26	4.39	4.33	1
YJL197W	0.83	0.63	0.59	0.68	0.66	0.68	0.88	4
YJL198W	1.6	0.82	0.54	0.71	0.77	1.06	1.44	4
YJL199C	0.74	1.08	1.08	1.21	1.24	1.21	0.93	4
YJL201W	0.63	0.51	0.54	0.48	0.58	0.36	0.62	4
YJL202C	0.68	0.77	0.74	0.64	0.69	0.5	0.6	4
YJL203W	0.7	0.59	0.7	0.64	0.69	0.5	0.6	4
YJL204C	0.7	0.74	0.74	0.67	0.74	0.67	0.67	4
YJL206C	0.93	1.5	1.81	1.77	1.95	1.61	1	4
YJL208C	1.23	0.64	0.48	0.5	0.71	1.06	1.24	4
YJL209W	0.87	0.79	0.69	0.82	0.84	0.76	0.75	4
YJL210W	0.7	1.17	1.23	1.25	1.05	1.15	0.78	4
YJL211C	0	0	0	0	0	0	0	4
YJL212C	1.32	0.98	0.83	0.74	0.73	0.67	0.8	4
YJL213W	0.74	1.05	0.92	1.02	0.92	0.91	0.94	4
YJL215C	0	0	0	0	0	0	0	4
YJL216C	0	0	0	0	0	0	0	4
YJL218W	0.48	0.77	0.73	0.6	0.33	0.33	0.3	4
YJL219W	0	0	0	0	0	0	0	4
YJL220W	0	0	0	0	0	0	0	4
YJL221C	0.19	0.33	0.34	0.32	0.24	0.21	0.21	4
YJL222W	0.4	0.31	0.34	0.34	0.34	0.33	0.31	4
YJL223C	0.84	0.79	0.73	0.75	0.93	1.12	1.22	4
YJL225C	2.27	2.17	2.31	2.28	2.39	1.81	2.01	4
YJR001W	2.4	2.91	2.76	3.12	3.26	3.1	3.21	4
YJR002W	1.6	0.49	0.46	0.43	0.51	0.97	1.32	4
YJR003C	1.06	0.47	0.32	0.33	0.45	0.65	0.9	4
YJR004C	2.49	1.8	2.02	2.29	2.09	2.47	2.39	4
YJR005W	0.94	0.77	0.92	0.79	0.88	0.77	0.83	4
YJR006W	1.13	1.19	1.21	1.08	0.92	1.11	1.18	4
YJR008W	0.69	1.19	1.56	1.97	0.87	1.29	0.92	4
YJR010C-A	0	0	0	0	0	0	0	4
YJR011C	0.5	0.61	0.55	0.57	0.4	0.51	0.62	4
YJR012C	0.6	0.79	0.62	0.64	0.6	0.67	0.71	4
YJR013W	0.86	0.99	0.89	0.93	0.86	1.04	0.99	4
YJR015W	2.56	2.28	1.88	1.83	1.88	2.08	2.26	4
YJR017C	1.91	2.8	2.59	2.76	2.82	2.7	2.61	4
YJR018W	0	0	0	0	0	0	0	4
YJR019C	0.57	0.8	0.83	0.96	0.85	0.89	0.83	4
YJR020W	0	0	0	0	0	0	0	4
YJR021C	0.8	1.1	1.14	1.28	1	0.99	1.02	4
YJR022W	0.88	1.03	1.11	0.92	1.2	0	1.09	4
YJR023C	0	0	0	0	0	0	0	4
YJR024C	2.6	3.07	2.26	2.12	2.74	3.29	3.07	4
YJR026W	3.05	2.5	2.26	2.48	3.78	5.02	5.2	4
YJR027W	4.38	3.89	3.89	3.63	5.62	6.69	7.47	1
YJR028W	3.2	2.56	2.17	2.61	3.93	4.94	5.19	4
YJR029W	4.94	4.45	4.21	4.12	5.83	6.65	6.74	1
YJR030C	0.88	0.69	0.6	0.55	0.81	0.66	0.71	4
YJR032W	1.35	1.1	0.88	0.75	0.96	1.07	1.34	4
YJR034W	1.73	3.82	3.66	2.9	3.15	2.23	1.57	4
YJR035W	0.61	0.54	0.58	0.54	0.61	0.42	0.61	4
YJR036C	0.57	1.03	1.06	0.92	0.82	0.37	0.45	4
YJR037W	0	0	0	0	0	0	0	4
YJR038C	0	0	0	0	0	0	0	4
YJR040W	0.65	0.52	0.5	0.59	0.66	0.62	0.59	4
YJR041C	1.26	0.4	0.29	0.38	0.53	0.73	1.22	4
YJR042W	1.21	0.87	0.94	0.89	0.96	0.89	0.91	4
YJR043C	1.13	0.9	0.8	0.76	0.85	1.02	1.21	4
YJR044C	2.04	4.05	4.1	4.52	4.25	2.86	2.71	4
