"YORF"	"R0"	"R30"	"R60"	"R90"	"R120"	"R240"
"287"	"YHR208W"	244.03	149.8467012	246.0998502	237.9487209	201.2845152	235.6491566
"288"	"YHR215W"	11.5	1.024888554	2.139622031	7.45815351	6.132223871	3.486010392
"289"	"YHR216W"	284.48	177.0572705	193.7368288	221.5377352	224.3502129	251.1689629
"290"	"YIL009W"	101.02	47.12674837	65.7503721	73.97839877	73.87815814	81.59311777
"291"	"YIL015W"	16	5.432558576	9.443382176	18.52717341	15.81070498	17.67129925
"292"	"YIL035C"	149.12	168.3138849	111.9483988	112.2856749	114.4076868	94.91413336
"293"	"YIL039W"	78.57	49.69962016	67.91811881	69.37761325	65.22330259	68.60983968
"294"	"YIL044C"	81.38	114.7527033	90.58739152	78.90128545	81.29330333	71.93614725
"295"	"YIL051C"	416.63	296.6212326	419.1881511	367.1195652	360.5391867	353.1179051
"296"	"YIL052C"	1912.13	1542.22364	2095.620943	2127.121949	1887.830956	1989.313499
"297"	"YIL069C"	1018.5	591.6286629	911.9621696	763.00006	1086.474862	762.7640446
"298"	"YIL094C"	834.83	465.700607	1582.98846	966.168341	1006.872233	903.2973824
"299"	"YIL115C"	89.37	67.29545646	73.99539327	78.79013372	69.83414501	80.64735537
"300"	"YIL118W"	134.82	100.0867824	150.3338885	127.4998863	157.6290769	150.9572025
"301"	"YIL126W"	90.52	90.04641982	98.95547923	90.05408206	73.88344018	84.48135558
